id,name,url,program,degree,country,state,online,oncampus,department,created_at,updated_at,university_count,program_size,courses,admit_reqs,year_founded,notes,cost,visualization,machine learning,business,databases,programminglanguages,capstone,mapreduce,part-time,ethics
77,University of Strathclyde,http://www.strath.ac.uk/mansci/prospectivestudents/mscbusinessanalysisandconsulting/,Business Analysis and Consulting,Masters,GB,,TRUE,TRUE,,2015-01-10 04:13:15 UTC,2015-01-10 04:13:15 UTC,1,,,,,,,,,,,,,,,
78,Universit’_t Konstanz,http://www.informatik.uni-konstanz.de/en/interestedparties/master/,Information Engineering,Masters,DE,,FALSE,TRUE,,2015-01-10 04:13:15 UTC,2015-01-10 04:13:15 UTC,1,,,,,,,,,,,,,,,
79,Otto Von Guericke University Magdeburg,http://www.uni-magdeburg.de/unimagdeburg/en/Education/Study+Guide/Study+Programmes+with+English+as+Language+of+Instruction/Data+and+Knowledge+Engineering.html,Data And Knowledge Engineering,Masters,DE,,FALSE,TRUE,,2015-01-10 04:13:15 UTC,2015-01-10 04:13:15 UTC,1,,,,,,,,,,,,,,,
80,Polytechnic University Of Turin,https://didattica.polito.it/portal/pls/portal/sviluppo.master.html?cds=73&sdu=32&a_acc=2013&p=presentazione&l=en,Big Data Engineering,Masters,US,IT,FALSE,TRUE,,2015-01-10 04:13:15 UTC,2015-01-10 04:13:15 UTC,1,,,,,,,,,,,,,,,
81,EISTI,http://www.eisti.fr/en/master-business-analytics-architecture-data-exploration-and-optimization-adeo,Business Analytics,Masters,FR,,FALSE,TRUE,,2015-01-10 04:13:15 UTC,2015-01-10 04:13:15 UTC,1,,,,,,,,,,,,,,,
82,University of Technology Sydney,https://www.uts.edu.au/research-and-teaching/our-research/advanced-analytics-institute/research-student-opportunities-0,Analytics,Doctorate,AU,,FALSE,TRUE,,2015-01-10 04:13:15 UTC,2015-01-10 04:13:15 UTC,1,,,,,,,,,,,,,,,
83,Dublin City University,http://www.dcu.ie/prospective/deginfo.php?classname=MCM,Data Analytics,Masters,IE,,FALSE,TRUE,,2015-01-10 04:13:15 UTC,2015-01-10 04:13:15 UTC,1,,,,,,,,,,,,,,,
84,Bentley University,http://www.bentley.edu/graduate/academics/special-programs/graduate-certificate-programs#analytics,Business Analytics,Certificate,US,MA,FALSE,TRUE,Business,2015-01-10 04:13:15 UTC,2015-01-10 04:13:15 UTC,2,,,,,,,,,,,,,,,
85,City University of New York (CUNY),http://sps.cuny.edu/programs/ms_dataanalytics,Data Analytics,Masters,US,NY,TRUE,TRUE,School of Professional Studies,2015-01-10 04:13:15 UTC,2015-01-10 04:13:15 UTC,1,,,,,,,,,,,,,,,
86,Rensselaer Polytechnic Institute,http://www.lallyschool.rpi.edu/academics/ms_ba.html,Business Analytics,Masters,US,NY,FALSE,TRUE,Management,2015-01-10 04:13:15 UTC,2015-01-10 04:13:15 UTC,1,,,,,,,,,,,,,,,
